ID,issued_by_whom,first_name,date_of_issue,unit_code,series_and_number,surname,patronymic,gender,date_of_birth,place_of_birth,accr_obl,accr_ocr
20127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20128,0.2727272727272727,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
20129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,,
20131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20132,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,
20134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,,
20135,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,
20136,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
20137,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,
20138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,,
20142,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,,
20143,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,,
20145,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,
20146,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,,
20147,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20148,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,,
20151,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
20152,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,
20153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,,
